1,"A02BC01","Omeprazol 20 mg (Lote 1)","Omeprazol","Antiácido","Cápsula","20 mg","Oral"
2,"B01AC06","Ácido acetilsalicílico (Lote 2)","Aspirina","Antiagregante","Tableta","100 mg","Oral"
3,"A10BA02","Metformina 850 mg (Lote 3)","Metformina","Antidiabético","Tableta","850 mg","Oral"
4,"B01AC06","Ácido acetilsalicílico (Lote 4)","Aspirina","Antiagregante","Tableta","100 mg","Oral"
5,"C09AA05","Enalapril 20 mg (Lote 5)","Enalapril","Antihipertensivo IECA","Tableta","20 mg","Oral"
6,"A10BA02","Metformina 850 mg (Lote 6)","Metformina","Antidiabético","Tableta","850 mg","Oral"
7,"J01CA04","Amoxicilina 500 mg (Lote 7)","Amoxicilina","Antibiótico penicilina","Tableta","500 mg","Oral"
8,"R03AK06","Salbutamol inhalador (Lote 8)","Salbutamol","Broncodilatador","Inhalador","100 mcg","Inhalatoria"
9,"B01AC06","Ácido acetilsalicílico (Lote 9)","Aspirina","Antiagregante","Tableta","100 mg","Oral"
10,"C09AA05","Enalapril 20 mg (Lote 10)","Enalapril","Antihipertensivo IECA","Tableta","20 mg","Oral"
11,"J01CA04","Amoxicilina 500 mg (Lote 11)","Amoxicilina","Antibiótico penicilina","Tableta","500 mg","Oral"
12,"A02BC01","Omeprazol 20 mg (Lote 12)","Omeprazol","Antiácido","Cápsula","20 mg","Oral"
13,"C09AA05","Enalapril 20 mg (Lote 13)","Enalapril","Antihipertensivo IECA","Tableta","20 mg","Oral"
14,"B01AC06","Ácido acetilsalicílico (Lote 14)","Aspirina","Antiagregante","Tableta","100 mg","Oral"
15,"B01AC06","Ácido acetilsalicílico (Lote 15)","Aspirina","Antiagregante","Tableta","100 mg","Oral"
16,"A10BA02","Metformina 850 mg (Lote 16)","Metformina","Antidiabético","Tableta","850 mg","Oral"
17,"B01AC06","Ácido acetilsalicílico (Lote 17)","Aspirina","Antiagregante","Tableta","100 mg","Oral"
18,"B01AC06","Ácido acetilsalicílico (Lote 18)","Aspirina","Antiagregante","Tableta","100 mg","Oral"
19,"C09AA05","Enalapril 20 mg (Lote 19)","Enalapril","Antihipertensivo IECA","Tableta","20 mg","Oral"
20,"C09AA05","Enalapril 20 mg (Lote 20)","Enalapril","Antihipertensivo IECA","Tableta","20 mg","Oral"
21,"A02BC01","Omeprazol 20 mg (Lote 21)","Omeprazol","Antiácido","Cápsula","20 mg","Oral"
22,"M01AE01","Ibuprofeno 400 mg (Lote 22)","Ibuprofeno","Antiinflamatorio","Tableta","400 mg","Oral"
23,"C09AA05","Enalapril 20 mg (Lote 23)","Enalapril","Antihipertensivo IECA","Tableta","20 mg","Oral"
24,"R03AK06","Salbutamol inhalador (Lote 24)","Salbutamol","Broncodilatador","Inhalador","100 mcg","Inhalatoria"
25,"R03AK06","Salbutamol inhalador (Lote 25)","Salbutamol","Broncodilatador","Inhalador","100 mcg","Inhalatoria"
26,"A10BA02","Metformina 850 mg (Lote 26)","Metformina","Antidiabético","Tableta","850 mg","Oral"
27,"N02BE01","Paracetamol 500 mg (Lote 27)","Paracetamol","Analgésico","Tableta","500 mg","Oral"
28,"C09AA05","Enalapril 20 mg (Lote 28)","Enalapril","Antihipertensivo IECA","Tableta","20 mg","Oral"
29,"N02BE01","Paracetamol 500 mg (Lote 29)","Paracetamol","Analgésico","Tableta","500 mg","Oral"
30,"N02BE01","Paracetamol 500 mg (Lote 30)","Paracetamol","Analgésico","Tableta","500 mg","Oral"
31,"C09AA05","Enalapril 20 mg (Lote 31)","Enalapril","Antihipertensivo IECA","Tableta","20 mg","Oral"
32,"R03AK06","Salbutamol inhalador (Lote 32)","Salbutamol","Broncodilatador","Inhalador","100 mcg","Inhalatoria"
