1,2015-01-01,2014,12,"Diciembre",4,31,"Miércoles",f
2,2015-01-02,2015,1,"Enero",1,1,"Jueves",f
3,2015-01-03,2015,1,"Enero",1,2,"Viernes",f
4,2015-01-04,2015,1,"Enero",1,3,"Sábado",t
5,2015-01-05,2015,1,"Enero",1,4,"Domingo",t
6,2015-01-06,2015,1,"Enero",1,5,"Lunes",f
7,2015-01-07,2015,1,"Enero",1,6,"Martes",f
8,2015-01-08,2015,1,"Enero",1,7,"Miércoles",f
9,2015-01-09,2015,1,"Enero",1,8,"Jueves",f
10,2015-01-10,2015,1,"Enero",1,9,"Viernes",f
11,2015-01-11,2015,1,"Enero",1,10,"Sábado",t
12,2015-01-12,2015,1,"Enero",1,11,"Domingo",t
13,2015-01-13,2015,1,"Enero",1,12,"Lunes",f
14,2015-01-14,2015,1,"Enero",1,13,"Martes",f
15,2015-01-15,2015,1,"Enero",1,14,"Miércoles",f
16,2015-01-16,2015,1,"Enero",1,15,"Jueves",f
17,2015-01-17,2015,1,"Enero",1,16,"Viernes",f
18,2015-01-18,2015,1,"Enero",1,17,"Sábado",t
19,2015-01-19,2015,1,"Enero",1,18,"Domingo",t
20,2015-01-20,2015,1,"Enero",1,19,"Lunes",f
21,2015-01-21,2015,1,"Enero",1,20,"Martes",f
22,2015-01-22,2015,1,"Enero",1,21,"Miércoles",f
23,2015-01-23,2015,1,"Enero",1,22,"Jueves",f
24,2015-01-24,2015,1,"Enero",1,23,"Viernes",f
25,2015-01-25,2015,1,"Enero",1,24,"Sábado",t
26,2015-01-26,2015,1,"Enero",1,25,"Domingo",t
27,2015-01-27,2015,1,"Enero",1,26,"Lunes",f
28,2015-01-28,2015,1,"Enero",1,27,"Martes",f
29,2015-01-29,2015,1,"Enero",1,28,"Miércoles",f
30,2015-01-30,2015,1,"Enero",1,29,"Jueves",f
31,2015-01-31,2015,1,"Enero",1,30,"Viernes",f
32,2015-02-01,2015,1,"Enero",1,31,"Sábado",t
33,2015-02-02,2015,2,"Febrero",1,1,"Domingo",t
34,2015-02-03,2015,2,"Febrero",1,2,"Lunes",f
35,2015-02-04,2015,2,"Febrero",1,3,"Martes",f
36,2015-02-05,2015,2,"Febrero",1,4,"Miércoles",f
37,2015-02-06,2015,2,"Febrero",1,5,"Jueves",f
38,2015-02-07,2015,2,"Febrero",1,6,"Viernes",f
39,2015-02-08,2015,2,"Febrero",1,7,"Sábado",t
40,2015-02-09,2015,2,"Febrero",1,8,"Domingo",t
41,2015-02-10,2015,2,"Febrero",1,9,"Lunes",f
42,2015-02-11,2015,2,"Febrero",1,10,"Martes",f
43,2015-02-12,2015,2,"Febrero",1,11,"Miércoles",f
44,2015-02-13,2015,2,"Febrero",1,12,"Jueves",f
45,2015-02-14,2015,2,"Febrero",1,13,"Viernes",f
46,2015-02-15,2015,2,"Febrero",1,14,"Sábado",t
47,2015-02-16,2015,2,"Febrero",1,15,"Domingo",t
48,2015-02-17,2015,2,"Febrero",1,16,"Lunes",f
49,2015-02-18,2015,2,"Febrero",1,17,"Martes",f
50,2015-02-19,2015,2,"Febrero",1,18,"Miércoles",f
51,2015-02-20,2015,2,"Febrero",1,19,"Jueves",f
52,2015-02-21,2015,2,"Febrero",1,20,"Viernes",f
53,2015-02-22,2015,2,"Febrero",1,21,"Sábado",t
54,2015-02-23,2015,2,"Febrero",1,22,"Domingo",t
55,2015-02-24,2015,2,"Febrero",1,23,"Lunes",f
56,2015-02-25,2015,2,"Febrero",1,24,"Martes",f
57,2015-02-26,2015,2,"Febrero",1,25,"Miércoles",f
58,2015-02-27,2015,2,"Febrero",1,26,"Jueves",f
59,2015-02-28,2015,2,"Febrero",1,27,"Viernes",f
60,2015-03-01,2015,2,"Febrero",1,28,"Sábado",t
61,2015-03-02,2015,3,"Marzo",1,1,"Domingo",t
62,2015-03-03,2015,3,"Marzo",1,2,"Lunes",f
63,2015-03-04,2015,3,"Marzo",1,3,"Martes",f
64,2015-03-05,2015,3,"Marzo",1,4,"Miércoles",f
65,2015-03-06,2015,3,"Marzo",1,5,"Jueves",f
66,2015-03-07,2015,3,"Marzo",1,6,"Viernes",f
67,2015-03-08,2015,3,"Marzo",1,7,"Sábado",t
68,2015-03-09,2015,3,"Marzo",1,8,"Domingo",t
69,2015-03-10,2015,3,"Marzo",1,9,"Lunes",f
70,2015-03-11,2015,3,"Marzo",1,10,"Martes",f
71,2015-03-12,2015,3,"Marzo",1,11,"Miércoles",f
72,2015-03-13,2015,3,"Marzo",1,12,"Jueves",f
73,2015-03-14,2015,3,"Marzo",1,13,"Viernes",f
74,2015-03-15,2015,3,"Marzo",1,14,"Sábado",t
75,2015-03-16,2015,3,"Marzo",1,15,"Domingo",t
76,2015-03-17,2015,3,"Marzo",1,16,"Lunes",f
77,2015-03-18,2015,3,"Marzo",1,17,"Martes",f
